officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,RelatedSuboffice,RelatedHeadoffice
Kasegaon B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O
Kategaon B.O,413409,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Agalgaon S.O,Solapur H.O
Kauthali B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O
Kavathe B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O
Kegaon B.O,413255,B.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,NA,Midc Chincholi S.O,Solapur H.O
Khairao B.O,413410,B.O,Delivery,Solapur,Pune,Maharashtra,Madha,Solapur,MAHARASHTRA,NA,Manegaon S.O,Solapur H.O
Khamgaon B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Khandali B.O,413324,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Shetphal S.O,Solapur H.O
Khandvi B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Khuneshwar B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O
Khvhe B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,NA,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Kini B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O
Kolegaon B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Kondi B.O,413255,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Midc Chincholi S.O,Solapur H.O
Konheri B.O,413248,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Pennur S.O,Solapur H.O
Koravali B.O,413253,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Kamati Khurd S.O,Solapur H.O
Korphale B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Korsegaon B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O
Kumathe B.O,413224,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Shivshahi S.O,Solapur H.O
Kumbhari B.O,413006,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Midc Solapur S.O,Solapur H.O
Kurnoor B.O,413226,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Chapalgaon S.O,Solapur H.O
Kurul B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Kuslumb B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Kusur B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O
Lamboti B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Limbi Chincholi B.O,413228,B.O,Delivery,Solapur,Pune,Maharashtra,S.solapur,Solapur,MAHARASHTRA,NA,Valsang S.O,Solapur H.O
Londewadi B.O,413214,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Anagar S.O,Solapur H.O
Maindargi S.O,413217,S.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,02181-255350,NA,Solapur H.O
Malegaon (Vairag) B.O,413406,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Gaudgaon S.O,Solapur H.O
Malegaon B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Malikpeth B.O,413214,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Anagar S.O,Solapur H.O
Malkavathe B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O
Malvandi B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Mandegaon B.O,413409,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Agalgaon S.O,Solapur H.O
Mandrup S.O,413221,S.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,0217-2255521,NA,Solapur H.O
Manegaon S.O,413410,S.O,Delivery,Solapur,Pune,Maharashtra,Madha,Solapur,MAHARASHTRA,0217-2726513,NA,Solapur H.O
Mangalwar Peth S.O (Solapur),413002,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2324000,NA,Solapur H.O
Mangrul B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O
Mardi B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O
Market Yard Barshi S.O,413401,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-222983,NA,Solapur H.O
Market Yard Solapur S.O,413005,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2375135,NA,Solapur H.O
Masale Chaudhari B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O
Medical College S.O (Solapur),413003,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2601167,NA,Solapur H.O
Mhaisalge B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O
Midc Chincholi S.O,413255,S.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,0217-2357268,NA,Solapur H.O
Midc Solapur S.O,413006,S.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,0217-2651256,NA,Solapur H.O
Mohol S.O,413213,S.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,02189-232221,NA,Solapur H.O
Motyal B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O
Mouje Tadvale B.O,413412,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Tulsidas Nagar S.O,Solapur H.O
Mugali B.O,413220,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Dudhani S.O,Solapur H.O
Mulegaon B.O,413006,B.O,Delivery,Solapur,Pune,Maharashtra,North  Solapur,Solapur,MAHARASHTRA,NA,Midc Solapur S.O,Solapur H.O
Mundewadi B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O
Musti B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O
Nagansur S.O,413227,S.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,0217-2726513,NA,Solapur H.O
Nagore B.O,413217,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Maindargi S.O,Solapur H.O
Nai Zindagi S.O,413224,S.O,Non-Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,0217-2602121,NA,Solapur H.O
Nanaj S.O (Solapur),413222,S.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,0217-2726513,NA,Solapur H.O
Nandani B.O,413008,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,SRPF Camp Solapur S.O,Solapur H.O
Nari B.O,413404,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangri S.O,Solapur H.O
Narkhed B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Navi Peth Solapur S.O,413001,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2725646,NA,Solapur H.O
Navindgi B.O,413227,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Nagansur S.O,Solapur H.O
Nimbargi B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O
Padsali B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O
Pakani B.O,413255,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Midc Chincholi S.O,Solapur H.O
Pandhari B.O,413404,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangri S.O,Solapur H.O
Pangaon S.O (Solapur),413403,S.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-249596,NA,Solapur H.O
Pangri S.O,413404,S.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-242585,NA,Solapur H.O
Papari B.O,413324,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Shetphal S.O,Solapur H.O
Pathari B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O
Patkul B.O,413248,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Pennur S.O,Solapur H.O
Pennur S.O,413248,S.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,02189-244821,NA,Solapur H.O
Pimpalgaon B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Pitapur B.O,413226,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Chapalgaon S.O,Solapur H.O
Pokharapur B.O,413248,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Pennur S.O,Solapur H.O
Raleras B.O,413402,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Vairag S.O,Solapur H.O
Ranmasale B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O
Ratanjan B.O,413406,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Gaudgaon S.O,Solapur H.O
Ruddewadi B.O,413220,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Dudhani S.O,Solapur H.O
Sadar Bazar S.O (Solapur),413003,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2317356,NA,Solapur H.O
Safale B.O,413218,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Wagadari S.O,Solapur H.O
Sakat B.O,413403,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangaon S.O (Solapur),Solapur H.O
Sakhar Peth S.O,413005,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2627362,NA,Solapur H.O
Salgar B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O
Sangvi Budruk B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O
Sarole B.O,413402,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Vairag S.O,Solapur H.O
Sasure B.O,413402,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Vairag S.O,Solapur H.O
Satan Dudhani B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O
Savaleshwar B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Sayyed Virwade B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Shaval B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O
Shelgaon (R) B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O
Shendri B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Shetphal S.O,413324,S.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,02189-242469,NA,Solapur H.O
Shingadgaon B.O,413228,B.O,Delivery,Solapur,Pune,Maharashtra,S.solapur,Solapur,MAHARASHTRA,NA,Valsang S.O,Solapur H.O
Shirale B.O,413404,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangri S.O,Solapur H.O
Shirapur (Solapur) B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mhol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Shirwal B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O
Shivshahi S.O,413224,S.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,0217-2600441,NA,Solapur H.O
Shripat Pimpari B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Sidheswar Peth S.O,413001,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2726365,NA,Solapur H.O
Sinnur B.O,413220,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Dudhani S.O,Solapur H.O
Sohale B.O,413253,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Kamati Khurd S.O,Solapur H.O
Solapur City S.O,413007,S.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2727360,NA,Solapur H.O
Solapur H.O,413001,H.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,0217-2621082,NA,NA
Solapur Mkt S.O,413002,S.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,0217-2324100,NA,Solapur H.O
Solapur Vidyapeeth S.O,413255,S.O,Non-Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,NA,NA,Solapur H.O
Sondare B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Soregaon B.O,413008,B.O,Delivery,Solapur,Pune,Maharashtra,North Solapur,Solapur,MAHARASHTRA,NA,SRPF Camp Solapur S.O,Solapur H.O
SRPF Camp Solapur S.O,413008,S.O,Delivery,Solapur,Pune,Maharashtra,Solapur,Solapur,MAHARASHTRA,0217-2341474,NA,Solapur H.O
Subhash Nagar Barshi S.O,413401,S.O,Non-Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-223647,NA,Solapur H.O
Suler Jawalage B.O,413215,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Hotagi S.O,Solapur H.O
Surdi B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Tadsoundane B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Tadwal  (Hotagi) B.O,413219,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Karajagi S.O (Solapur),Solapur H.O
Takali B.O,413008,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,SRPF Camp Solapur S.O,Solapur H.O
Takali Sikandar B.O,413248,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Pennur S.O,Solapur H.O
Tambole B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Tandulwadi B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O
Tikekarwadi B.O,413224,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Shivshahi S.O,Solapur H.O
Tirhe B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O
Tolnur B.O,413227,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Nagansur S.O,Solapur H.O
Torni B.O,413217,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Maindargi S.O,Solapur H.O
Tulsidas Nagar S.O,413412,S.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-240465,NA,Solapur H.O
Udagi B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O
Ukadgaon B.O,413404,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Pangri S.O,Solapur H.O
Ule B.O,413002,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O
Umarge B.O,413216,B.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,NA,Akkalkot S.O,Solapur H.O
Umbarge B.O,413409,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Agalgaon S.O,Solapur H.O
Umedpur B.O,413002,B.O,Non-Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Solapur Mkt S.O,Solapur H.O
Upalai  ( Thonge ) B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Upale Dhumala B.O,413401,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Barshi S.O,Solapur H.O
Vairag S.O,413402,S.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,02184-240808,NA,Solapur H.O
Valsang S.O,413228,S.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,0217-2258021,NA,Solapur H.O
Valuj B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,N.solapur,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O
Vinchur B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,South Solapur,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O
Virvade B.O,413253,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Kamati Khurd S.O,Solapur H.O
Wadala B.O,413222,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur North,Solapur,MAHARASHTRA,NA,Nanaj S.O (Solapur),Solapur H.O
Wadwal B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Wafale B.O,413214,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Anagar S.O,Solapur H.O
Wagadari S.O,413218,S.O,Delivery,Solapur,Pune,Maharashtra,Akkalkot,Solapur,MAHARASHTRA,02181-260300,NA,Solapur H.O
Wakaw B.O,413214,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Anagar S.O,Solapur H.O
Wangi B.O,413221,B.O,Delivery,Solapur,Pune,Maharashtra,Solapur South,Solapur,MAHARASHTRA,NA,Mandrup S.O,Solapur H.O
Yavali B.O,413412,B.O,Delivery,Solapur,Pune,Maharashtra,Barshi,Solapur,MAHARASHTRA,NA,Tulsidas Nagar S.O,Solapur H.O
Yawali B.O,413213,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Mohol S.O,Solapur H.O
Yeoti B.O,413248,B.O,Delivery,Solapur,Pune,Maharashtra,Mohol,Solapur,MAHARASHTRA,NA,Pennur S.O,Solapur H.O
Ahallup B.O,795002,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Mantripukhri S.O,Imphal H.O
Aibulon B.O,795143,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Thanlon S.O,Imphal H.O
Aigejang B.O,795102,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Chandel,MANIPUR,NA,Chakpikarong S.O,Imphal H.O
Aimol Kodamphai B.O,795135,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Pallel S.O,Imphal H.O
Aina B.O,795128,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Churachandpur S.O,Imphal H.O
Akhui B.O,795141,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,NA,Tamenglong S.O,Imphal H.O
Anal Khullen B.O,795102,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Chandel,MANIPUR,NA,Chakpikarong S.O,Imphal H.O
Andro B.O,795149,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil;,Thoubal,MANIPUR,NA,Yairipok S.O,Imphal H.O
Angbrashu B.O,795135,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Pallel S.O,Imphal H.O
Angtha B.O,795149,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Yairipok S.O,Imphal H.O
Arapyi B.O,795130,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Lilong S.O,Imphal H.O
Arong B.O,795132,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Mayang Imphal S.O,Imphal H.O
Arong Nongmaikhong B.O,795103,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Kakching S.O,Imphal H.O
Ashi B.O,795145,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Ukhrul,MANIPUR,NA,Litan S.O,Imphal H.O
Atang Khunou B.O,795125,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,NA,Tamei S.O,Imphal H.O
Atengba B.O,795141,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,NA,Tamenglong S.O,Imphal H.O
Athokpam B.O,795138,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Thoubal S.O,Imphal H.O
Athokpam Khunou B.O,795138,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Thoubal,MANIPUR,NA,Thoubal S.O,Imphal H.O
Awang Konmgpal B.O,795005,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal East,MANIPUR,NA,Porompat S.O,Imphal H.O
Awang Leikinthabi B.O,795136,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Sekmai S.O,Imphal H.O
Awangjiri B.O,795134,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,NA,Nambol S.O,Imphal H.O
Awangkhul B.O,795159,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,NA,None S.O,Imphal H.O
Awangpotshangbam B.O,795002,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Mantripukhri S.O,Imphal H.O
Behiang B.O,795139,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Churachandpur,MANIPUR,NA,Singhat S.O,Imphal H.O
Bengoon Maning Leikai B.O,795132,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Mayang Imphal S.O,Imphal H.O
Bhalok B.O,795141,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Tamenglong,MANIPUR,NA,Tamenglong S.O,Imphal H.O
Bidyanagar B.O,795115,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Imphal West,MANIPUR,NA,Gularthol S.O,Imphal H.O
Bishnupur S.O (Bishnupur),795126,S.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Bishnupur,MANIPUR,03879-222542,NA,Imphal H.O
Bitrarakhong B.O,795009,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil;,Imphal West,MANIPUR,NA,Wangoi S.O,Imphal H.O
Bongajang B.O,795131,B.O,Delivery,Manipur,North Eastern,North Eastern,Nil,Chandel,MANIPUR,NA,Moreh S.O,Imphal H.O
